Lokasi,SN,EQ,Mono Pages,Colour Pages,Periode
Pelindo Tower Lt.20,834582,807628,166,1704,Jan
Pelindo Tower Lt.20,834583,807629,384,2637,Jan
Pelindo Tower Lt.19,834584,807630,2446,4666,Jan
Pelindo Tower Lt.19,834588,807634,459,1322,Jan
Jl. Pasoso Lt.6,383028,807439,240,624,Jan
Jl. Pasoso No.1,337981,762463,0,0,Jan
Pelindo Tower Lt.20,834582,807628,738,2358,Feb
Pelindo Tower Lt.20,834583,807629,534,1949,Feb
Pelindo Tower Lt.19,834584,807630,599,2178,Feb
Pelindo Tower Lt.19,834588,807634,334,1639,Feb
Jl. Pasoso Lt.6,383028,807439,285,786,Feb
Jl. Pasoso No.1,337981,762463,17,255,Feb
Pelindo Tower Lt.20,834582,807628,434,2153,Mar
Pelindo Tower Lt.20,834583,807629,1344,1981,Mar
Pelindo Tower Lt.19,834584,807630,326,1585,Mar
Pelindo Tower Lt.19,834588,807634,458,3137,Mar
Jl. Pasoso Lt.6,383028,807439,285,730,Mar
Jl. Pasoso No.1,337981,762463,0,0,Mar
Pelindo Tower Lt.20,834582,807628,362,1609,Apr
Pelindo Tower Lt.20,834583,807629,1244,1544,Apr
Pelindo Tower Lt.19,834584,807630,553,2449,Apr
Pelindo Tower Lt.19,834588,807634,561,1442,Apr
Jl. Pasoso Lt.6,383028,807439,115,597,Apr
Pelindo Tower Lt.20,834582,807628,221,540,Mei
Pelindo Tower Lt.20,834583,807629,357,1179,Mei
Pelindo Tower Lt.19,834584,807630,369,535,Mei
Pelindo Tower Lt.19,834588,807634,190,765,Mei
Jl. Pasoso Lt.6,383028,807439,146,418,Mei
